category,title,url,timestamp,articles
Singapore,COVID-19: Ex-magazine editor fined for attending 13-person birthday party at Terence Cao's condo unit,https://www.channelnewsasia.com/news/singapore/covid-19-ex-magazine-editor-fined-for-attending-13-person-14831622,1621310860,"SINGAPORE: A former magazine editor who was at a birthday party at Mediacorp actor Terence Cao's home was fined S$3,000 on Tuesday (May 18) for gathering with 12 other people during the pandemic. Lance Lim Chee Keong, 50, pleaded guilty to one charge of gathering with 12 people not from his household at Cao's condominium in Daisy Road in October last year. The judge noted that Lim was a guest at the residence but went beyond by inviting more people to a gathering that was not necessary. She added that the vast majority of people in Singapore have made tremendous efforts and sacrifices to contain the spread of COVID-19, and that it is crucial for individuals to comply with measures so that the country can overcome the pandemic. At the time of the offence, Singapore was in Phase 2 of its reopening, with a limit of five visitors allowed for households. The court heard that Cao, 53, organised a social gathering at his home on Oct 2, 2020 to celebrate his birthday, as well as the birthdays of Shane Pow, 30, and 32-year-old Xu Mingjie, or Jeffrey Xu.  Several of his local celebrity guests had turned up unannounced at Cao's home to surprise him, but Lim had knowingly invited more people even though the number of guests had exceeded the legal limit. Initially, Cao invited Lim to his place along with artistes Pow, Xu, Benjamin Heng Tee Kok, 45, and Jeremy Chan Ming Yuew, 29. Cao, Lim and Pow had dinner at the condo unit between 7pm and 8pm on Oct 2, 2020. Lim invited artistes Sonia Chew, 30, and Julie Tan Shaoyin, 29, and marketing managers Debbie Lu Shuyi, 34, and Eleanor Wang Chunwei over, expecting them to arrive later. He asked Wang, 34, to bring a birthday cake to the gathering, and also knew that Wang had in turn invited artiste Dawn Yeoh Yishan, 34. THE GUESTS ARRIVE At about 8pm, part-time model and actress Valnice Yek Jia Hui arrived at the condo and Cao allowed the 22-year-old in. Pow had earlier invited her there without knowing that more guests were expected. Before 9pm, 30-year-old sales manager Tan Jun Chuan arrived at the home and Cao let him in. He had gone there to surprise Cao, and did not know that more guests would arrive later. Between 9pm and 10pm, Wang and Yeoh arrived at Cao's home. They did not know that there were going to be more than five guests there, and were unaware that more guests would arrive later. There were now six guests in the unit. Between 10pm and 11pm, Lu arrived at Cao's home to surprise him. Julie and Heng joined the group shortly. The trio did not know there were more than five guests there or that more would be arriving later. There were now nine guests at Cao's home. Between 11pm on Oct 2, 2020 and 12am on Oct 3, 2020, Chew, Xu and Chan turned up at the house and were let in. They did not know there were going to be more than five guests there, and their arrival meant there were 12 guests in total. At about 11.30pm, all 13 participants of the gathering held a birthday cake-cutting ceremony and took group photos of everyone present. Xu posted one of the photos on his Instagram Stories page. Several of the guests left by 1am, leaving six behind. Lu left the condo as well between 1am and 2am on Oct 3, 2020. The remaining guests - Lim, Pow, Xu, Chew and Julie - left between 2am and 4am. Throughout the gathering, the guests chatted, ate and drank without wearing masks. They knew it was against the law to gather in a group of more than five people. HE WAS NONCHALANT: PROSECUTOR Deputy Public Prosecutor Norman Yew asked for a fine of at least S$3,000 to reflect the seriousness of his actions and ""to deter likeminded offenders who place their personal interests over the public's health"". ""Lance Lim was nonchalant towards the laws enacted to protect Singapore against the global COVID-19 pandemic,"" said Mr Yew. ""His conduct belittles the efforts and sacrifices of the vast majority, who have, amongst many things, given up the pleasures of social interaction with family and friends for the public good to contain the spread of COVID-19."" He said the courts should ""firmly denounce such behaviour and send a strong message that we need to continue to be vigilant and comply with measures to prevent another tidal wave of community infections"". Defence lawyers Josephus Tan and Cory Wong of Invictus Law asked instead for a fine of not more than S$2,500, saying that this was his first offence and an isolated one that was ""wholly out-of-character"" with ""no deep-seated criminality"". They said Lim was ""hard hit by the COVID-19 pandemic as he had lost his full-time job as a magazine editor back then"". He could not find any comparable employment for about a year and had to use his own savings to tide over. He has since secured work as a part-time editor to make ends meet after months of unemployment, they said. ""In a way, COVID-19 had indeed did Lance in twice over, the first being employment-wise and the second being offence-wise. He has learnt his lesson and he reiterates his genuine remorse,"" said the lawyers. Lim and Cao were charged in court in March, while the other 11 guests were each given fines of S$300. The Building and Construction Authority had explained that they took into account the 11 guests' level of culpability in issuing them fines. An advisory was also issued to the management of Cao's condominium to remind them to ensure compliance with safe management measures. Cao is expected back in court on May 25 to plead guilty. He is defended by lawyer S S Dhillon, who is also representing Pow for an unrelated drink driving charge."
Singapore,"Daewoo director, project manager in MRT construction project jailed for bribing former LTA director",https://www.channelnewsasia.com/news/singapore/daewoo-lta-corruption-director-project-manager-mrt-jail-14831328,1621306194,"SINGAPORE: Two Daewoo Engineering and Construction executives, who gave bribes to a Land Transport Authority (LTA) deputy group director while working on their company's first project in Singapore, were jailed for eight months on Tuesday (May 18). Kim Young-Gyu, a 52-year-old director, and Ro Sungyoung, a 49-year-old project manager, pleaded guilty to a charge each of conspiring to bribe Henry Foo Yung Thye with S$30,000. Each man had a second charge involving another S$20,000 taken into consideration for sentencing. Kim and Ro are the first to be sentenced in a wide-ranging corruption case where Foo, who was the deputy group director of the Thomson-East Coast and Cross-Island Lines, is accused of taking about S$1.24 million in bribes. The judge noted that both men did not actively seek to cultivate Foo, but said that it was ""not completely for selfless reasons"" when they eventually gave in. Instead, they gave the bribes to benefit themselves and Daewoo, she said. LTA awarded the main contract for the construction of the Stevens MRT station to Daewoo for S$441 million in April 2014. This was the first time Daewoo was awarded a project in Singapore. Kim and Ro worked on the project and reported to Foo for official quarterly meetings with LTA. Foo, who also chaired the tender evaluation committee for the project and had powers to commit LTA to additional expenditures, began asking Ro for loans in mid-2018. Ro was afraid to offend the high-ranking LTA officer and discussed the matter with Kim, his boss. Kim rejected the notion angrily at first, as he knew it was against both Daewoo's policies and Singapore law.  However, Foo kept pursuing Ro for loans, until Kim and Ro decided they could no longer reject him. They hoped that agreeing to his loan request would put them on friendly terms with Foo and facilitate the smooth progress of train station works. Kim also feared that Foo might apply ""time pressure"" on Daewoo if they offended him and influence LTA's inspections of their work. The pair also hoped the loan would stand them in good stead to be awarded future LTA projects, especially in comparison with other contractors who had not given money to Foo. Ro lent Foo S$30,000 after Foo sent him a text message on Dec 31, 2018, saying he needed to raise a sum of money urgently for family issues. After lending Foo the money, Ro began asking Foo for help in return. He turned to Foo in May 2019 after an LTA officer inspected the train station worksite and given Daewoo a negative score for infringements of safety or cleanliness. Foo said he would help by speaking to LTA's group director of safety and contracts. But his intervention did not change the score, and Daewoo did not clinch a project on the Jurong Region Line they had put in a bid for. In August 2019, Foo sent Ro a confidential screenshot of an assessment by the LTA tender evaluation committee, after Ro asked him why Daewoo had failed in the first stage of an LTA tendering process for the construction of tunnels at Changi Airport. The Corrupt Practices Investigation Bureau caught wind of the corruption and the trio were nabbed. Prosecutors had called for eight months' jail for Kim and Ro, while defence lawyers asked for a high fine, or three to four weeks' jail and no more than six months' jail in the alternative. Foo is set for a pre-trial conference in June. He faces 36 charges that range from taking bribes from contractors or subcontractors to cheating his colleagues into giving him loans between 2008 and 2019. The cases for several other co-accused are pending."
Singapore,"17 investigated for illegal gambling, breaching COVID-19 measures",https://www.channelnewsasia.com/news/singapore/illegal-gambling-breach-safe-distancing-17-people-investigated-14827812,1621255845,"SINGAPORE: The police are investigating 17 people for their suspected involvement in illegal gambling and breaching COVID-19 safe distancing measures. Those under investigation are aged between 17 and 70, said the police on Monday (May 17). In a news release, the police said they received a report at about 12.50am on Sunday about a large number of people gathering inside a residential unit along Boon Lay Place. Authorities found 17 people purportedly gathering and engaged in gambling-related activities inside the unit. Gambling-related paraphernalia were seized.  A 62-year-old man is being investigated for his suspected involvement in operating a common gaming house, said the police. If found guilty of the offence, he can be fined up to S$50,000 and jailed for up to three years. The remaining 16 people are being investigated for allegedly gaming in a common gaming house. If convicted, offenders face a fine of up to S$5,000 each, a jail term of up to six months, or both. For not complying with safe distancing measures, they can be fined up to S$10,000, jailed up to six months, or both. Under Singapore's new COVID-19 restrictions, group sizes are restricted to a maximum of two, down from the previous limit of five people. Download our app or subscribe to our Telegram channel for the latest updates on the coronavirus outbreak: https://cna.asia/telegram"
Singapore,"Jail for cleaner who assaulted gardeners at Sentosa condo, returned with hammer after being fired",https://www.channelnewsasia.com/news/singapore/jail-cleaner-assaulted-gardeners-sentosa-condo-14827000,1621244996,"SINGAPORE: After a cleaner was fired for assaulting a gardener and his supervisor at a condominium on Sentosa, he returned with a hammer, saying he wanted to smash the gardener's face. Nagarajan Abraham, 49, was given 12 weeks' jail on Monday (May 17) after pleading guilty to two charges of voluntarily causing hurt and two charges under the Protection from Harassment Act. Another three charges were considered in sentencing. The court heard that Nagarajan was a cleaner at the Cape Royale condominium in Sentosa Cove. At around 8.10am on Jan 30 this year he approached a 28-year-old Bangladeshi landscaping supervisor at the landscaping and cleaning storeroom of the condominium. He shouted the victim's nationality, before saying: “I am Singaporean. I go jail, I can bring you go jail.” He punched the victim on his neck before Nagarajan's cleaning supervisor told Nagarajan to leave the room. About half an hour later, a 40-year-old Bangladeshi gardener went to the storeroom to retrieve equipment for his work. He saw Nagarajan arguing with the cleaning supervisor at the exit, and told Nagarajan to move out of the way, as he was blocking the way. Nagarajan turned around and kicked the gardener's chest, before punching him thrice on his forehead and once on the side of his head. After separating Nagarajan and the gardener, the cleaning supervisor locked Nagarajan inside the storeroom. He was fired on Feb 1 for poor work performance and for assaulting the two men. He went back to the condominium on Feb 13 to look for his former supervisor after drinking six bottles of beer. However, the 72-year-old security guard at the guard house recognised Nagarajan and did not let him in. Nagarajan grew agitated and began shouting and gesticulating wildly, before retrieving a small hammer from his bag and saying he wanted to smash the victim's face. He began shouting and scolding the Bangladeshi national for ""causing him to lose his job"", the court was told. His former supervisor heard the commotion and went to the guard house to speak to him. She noticed that he smelled of alcohol and he told her: ""You wait, wait, I got hammer."" He reached into his bag and shouted vulgarities in Hokkien, which alarmed the supervisor. CURSED AT BUS DRIVER AFTER TAKING WRONG BUS In an earlier incident on Sep 5, 2020, Nagarajan boarded a bus in Geylang. A few minutes later, he realised that he had taken the bus in the wrong direction and approached the bus driver to ask where he was going. When told that the bus was headed towards Ghim Moh bus interchange, Nagarajan grew agitated. He began cursing at the bus driver, a 51-year-old Malaysian man. He was subsequently charged in court and remanded. The prosecutor asked for at least 12 weeks' jail and a fine for Nagarajan, saying that he had previous convictions of causing hurt in 2017 and 2018. ""The accused has demonstrated that he is a recalcitrant offender who becomes violent for no apparent reason,"" he said. Nagarajan, who was unrepresented, said he did not scold the victim's mothers, and that he had hurled vulgarities in Hokkien and Malay. The judge asked him if he knew what the words meant, but Nagarajan said he used such words in the army and with his friends, and did not intend to scold the victims' mothers. However, he acknowledged that he had uttered those vulgarities. He said he was very sorry and remorseful and wanted to be released so he can continue paying for his flat. He said he was drunk on the second occasion as he had lost his job. District Judge Marvin Bay told him that he had to control himself when he drank alcohol, as he knew his own tendency ""to succumb to violence and offensive language"" when intoxicated."
Singapore,"Teenager jailed for filming other male students showering, engaging in sex acts",https://www.channelnewsasia.com/news/singapore/teenager-jailed-filming-court-male-students-showering-14826190,1621229118,"SINGAPORE: While studying for his A-Level examinations, a teenager filmed multiple clips of his male schoolmates showering, in the toilet or engaging in sex acts. Tang Jiasheng, 19, was given three months and two weeks' jail on Monday (May 17), along with a fine of S$1,500. He pleaded guilty to eight charges of voyeurism and offences under the Films Act, with another 35 charges considered in sentencing. The court heard that Tang, a China national, was in Singapore on a student pass at the time of the offences. Then 18, he was studying at a private school and living in the school's hostel. Between October 2019 and March 2021, he filmed multiple male students at the hostel during their private moments. One of the victims was in a toilet at the hostel on Jan 19, 2020, when Tang entered the stall next to him. Upon realising there was someone there, Tang placed his phone in recording mode and began filming the victim through the gap at the bottom of the stalls. The victim realised that someone was filming him while he was showering and reported the incident to hostel management. The police came and initially suspected Tang's roommate. In the next few days, Tang continued to film other male students at the school, until his roommate was cleared as nothing incriminating was found on him. A member of the hostel management team tracked down Tang on Jan 22, 2020, and called him into her office. She found a hidden folder in Tang's device containing 39 video clips of male students showering, urinating or masturbating. Another two clips were of Tang himself. Tang admitted to the police that he had been recording videos at the school. He also admitted to an Institute of Mental Health doctor that he filmed male victims at a junior college in 2019 until he was caught. He was not reported to the police then. He said he filmed the male students because it ""aroused him as he could be able to see parts of his victims which they would not reveal"". He also told police that he got ""a thrill from doing something which he knew was wrong and illegal"". Even after he was charged in court and released on bail, Tang continued his crimes, secretly filming a student showering in the hostel in March 2021. ACCUSED IS A RECALCITRANT OFFENDER: PROSECUTOR Deputy Public Prosecutor Chong Kee En asked that Tang be fined and jailed for at least three months and two weeks. ""This is a case involving a recalcitrant accused who had repeatedly filmed other male students in their private moments whilst showering, urinating, defecating, and even when masturbating,"" he said, adding that Tang did so to gratify himself sexually. ""The accused did so whilst reprehensibly violating the privacy of these male victims, whom as foreign students deserved a safe space in the hostel, which would have been their home away from home."" He said Tang has no local roots and cannot be a candidate for probation or reformative training. ""Whilst a term of imprisonment might seem harsh for a young offender such as the accused, it is the only viable option,"" said Mr Chong. The defence said Tang has sought medical treatment of his own volition for a mental condition, but the prosecutor said no contributory link was found to the offences. The judge told Tang to continue his treatment once he is released from jail, as he will be dealt with under the relevant laws if he reoffends."
Singapore,Teen pleads guilty to having sex with underage girlfriend in classroom,https://www.channelnewsasia.com/news/singapore/teen-pleads-guilty-underage-sex-classroom-14825916,1621224888,"SINGAPORE: A teenager repeatedly engaged in illegal sex acts with underage girls, including with his 13-year-old girlfriend in their classroom. The 17-year-old pleaded guilty in a court on Monday (May 17) to two charges of sexual penetration of a minor. Another three charges will be taken into consideration for sentencing. He cannot be named due to gag orders protecting the identities of the victims, as well as the Children and Young Persons Act, which forbids the naming of an accused under 18. According to court documents, the accused began having underage sex in November 2017 when he was 14. In January 2018, he had a 15-year-old girlfriend who studied at the same secondary school. After school ended sometime that month, the girl followed him to his home when no one else was present. As they went in, they decided to engage in consensual sex, said the prosecutor. They had unprotected sex in the living room before the accused accompanied his girlfriend home. The victim lodged a police report stating she had consensual sex with the accused a few months later, and ended her relationship with him afterwards. The accused later started dating another girl. In July 2019, when the girl was 13 and he was 15, the boy suggested going into a classroom to have sex. The girl agreed, as she was ""curious"" about sex, the prosecutor said. After buying condoms, the accused unlocked the classroom door with a key he had and went in with his girlfriend. After he locked the door, they went behind the teacher's table where they cuddled and kissed. He initiated penetration three times and each time the girl said she was in pain. She also expressed fear over engaging in a sex act in a classroom and asked him to stop. The accused stopped what he was doing and the pair put their clothes back on. When the girl told the accused she did not like what they were doing, he said it was okay and that they could ""try again next time"". PROSECUTOR NOT OBJECTING TO PROBATION SUITABILITY REPORT Deputy Public Prosecutor Lee Wei Liang said he would not be objecting to the calling of a probation suitability report ""in view of the accused's young age and nature of the offences"". In response to the judge's questions, the accused said he had not been given any warnings in 2017 before he went on to reoffend. He said he is in his final year in an Institute of Technical Education. ""I'm guilty of all these offences ma'am,"" he said through an interpreter. ""Ever since the last offence, I've realised the wrongdoing I've committed and I've stopped doing all this."" He said he is working part-time as a food deliveryman and supporting his mother, who is unable to work due to medical reasons. He is also supporting his younger brother, an ITE student, and the family of three live in a rented flat. His father has died, he said. The judge asked the accused if he was prepared to keep to school rules as he was returning to school or attending home-based learning classes the next day but still had dyed hair. He explained that he coloured his hair during the school break and would dye it back to black for school. ""If it's school rules and you want to be considered for probation, follow the rules,"" said District Judge May Mesenas. She added that he should attend his classes regularly if he wished to be considered for probation. She called for a report assessing his suitability for it and adjourned sentencing to June. For sexual penetration of a minor, with or without her consent in January 2018, he could be jailed up to 10 years, fined or both. He could be jailed up to 20 years and fined or caned for sexual penetration of a minor under 14 in July 2019."
Singapore,Man charged with sending false message to NTU researcher that he had COVID-19,https://www.channelnewsasia.com/news/singapore/man-charged-sending-false-message-ntu-researcher-covid-19-14825712,1621222726,"SINGAPORE: A man was charged on Monday (May 17) with knowingly transmitting a false message to a researcher from Nanyang Technological University (NTU) that he could not attend a ""session"" as he had COVID-19 and was quarantined in hospital. Paul Chan Kin Nang, 40, was given one charge of transmitting a false message under the Miscellaneous Offences (Public Order and Nuisance) Act to NTU researcher Lau Zen Juen. The charge sheet states that Chan sent an email to Ms Lau at 12.47pm on Sep 6, 2020, stating: ""Hi, I am unable to attend the session tomorrow as I am tested positive for Covid19 and is now quarantine in hospital."" Chan allegedly knew this to be false, as he had not tested positive for COVID-19, the document continued. Court documents at the early charging stage did not elaborate on what ""session"" Chan was supposed to attend, or how the allegations came to light. According to online research websites, the researcher he allegedly lied to is studying the cognitive neuroscience of deception. The email address that he allegedly sent the false message to was listed in a Facebook post aimed at NTU Psychology Majors in July 2020, calling for volunteers to participate in a decision-making study using magnetic resonance imaging (MRI). A spokesperson for NTU told CNA after the hearing that Chan is a member of the public who is a volunteer participant in a social science study conducted at NTU. ""After he informed the researchers that he could not attend a research session as he had allegedly tested positive for COVID-19, the university promptly checked with the authorities to verify whether he is a confirmed COVID-19 case, due to the need for contact tracing,"" he said. ""When his claim was found to be false, a police report was made. He is no longer participating in the study. As the case is before the courts, we have no other comments at this time."" The offence Chan was charged with is relatively new - it was added to the Miscellaneous Offences (Public Order and Nuisance) Act in January last year. The last reported case on such an offence was for Kenneth Lai Yong Hui, a taxi driver who was jailed four months in May 2020 for posting a fake message on Facebook about supposed food outlet closures and urging panic buying. If convicted of the offence, Chan can be jailed up to three years, fined up to S$10,000, or both."
Asia First Encore,"
                CNA+: Undercover Asia uncovers pet smuggling in Hong Kong",https://www.channelnewsasia.com/news/video-on-demand/asia-first-encore/cna-undercover-asia-uncovers-pet-smuggling-in-hong-kong-14811576,1621008000,
Undercover Asia S8,"
                Ep 7: A Deadly Gamble (Philippines)",https://www.channelnewsasia.com/news/video-on-demand/undercover-asia/a-deadly-gamble-philippines-14582592,1618063200,
Singapore,Migrant worker who had COVID-19 admits loitering around Changi Airport in bid to take flight home,https://www.channelnewsasia.com/news/singapore/migrant-worker-covid-19-admits-loitering-changi-airport-14807868,1620963234,"SINGAPORE: A 26-year-old migrant worker who suspected he had COVID-19 failed to stay at the hospital as directed, and instead took public transport to Changi Airport where he loitered for hours hoping to get a flight home. Indian national Parthiban Balachandran pleaded guilty on Friday (May 14) to a charge each of exposing others to the risk of COVID-19 infection and leaving an isolation area without permission. Another two charges of exposing others to the risk of infection and of using insulting words towards a health officer will be considered in sentencing. The court heard that Parthiban stayed at Jurong Penjuru dormitory, which was among the dorms declared in April 2020 to be an isolation area. On May 23 last year, Parthiban reported sick at the dorm, complaining of a fever and sore throat. Based on his symptoms and knowing that other dorm residents had reported positive for COVID-19, Parthiban suspected that he was infected with the virus. He was taken to the Singapore General Hospital (SGH) by ambulance where a swab test was taken from him. He was transferred to a fever-screening area in the hospital's multi-storey car park, where staff nurses briefed him repeatedly in English and Tamil not to leave until his test results were ready, and not to go anywhere unless instructed. He was also told not to leave so that he would not risk infecting others if he did have COVID-19. Swab test results later showed he was a confirmed COVID-19 case. At about 5.30pm the same day, Parthiban left the hospital without informing anyone, intending to go the airport to buy a ticket and return to India immediately. Closed-circuit television footage showed him leaving with two bags, walking towards Kim Tian Road and crossing an overhead bridge. He walked to Yong Siak Street, where he took a bus and later flagged a cab at Lower Delta Road. He took the taxi to Changi Airport Terminal 1, where he spoke to airport staff and tried to buy a ticket to India. He was not sold a ticket, and loitered at the airport for about four hours until the police found him and escorted him back to SGH. The taxi driver who took him to the airport was issued a quarantine order for 14 days and could not work during this time. He tested negative for the virus. Parthiban completed his period of isolation in the hospital on Jun 8 last year and was diagnosed to be no longer infectious. He was sent back to the dormitory and ordered to serve another 14 days' leave of absence, and was not allowed to leave the dorm. HE LEFT THE DORMITORY FOR THE AIRPORT BEFORE TIME WAS UP AGAIN On Jun 16, before the period was up, Parthiban packed two bags of belongings and left the dorm. He intended to leave Singapore as he knew many dorm residents had tested positive for COVID-19. He took a cab to the airport but was told by airport staff that he could not buy a ticket. He loitered at the airport and slept there, before heading to a relative's home in Tampines the next day. He told his relative that he had left the dorm without permission only after entering the flat. His relative called his employer and the police escorted him back to the dormitory. In a charge taken into consideration, Parthiban also used insulting words at a Ministry of Health officer at Harbourfront Centre on Oct 14 last year. When the officer read a charge to him, he said in Tamil: ""Who are you both to charge me? Are you a judge?"" Other things he said were: ""What rights do you have to charge me?"", ""Have you read law? Or do you have proper education to charge me?"". He also said to the officer: ""I have BABL (Bachelor of Arts, Bachelor of Law). Do you have a law degree in the first place? Do you want to see my degree?"" The prosecutor is asking for the maximum six months' jail for Parthiban. Defence lawyer Cory Wong of Invictus Law, who took the case on pro bono, asked the judge to remand Parthiban at the Institute of Mental Health for psychiatric observation. DEFENCE ASKS FOR PSYCHIATRIC OBSERVATION He tendered a Jun 8, 2020 memo from SGH indicating that Parthiban was suffering from adjustment disorder close to the time of the offences. He said Parthiban was on medication in April this year and was admitted to IMH last month. He said Parthiban was ""limited by his financial means"", explaining why no psychiatric report was obtained earlier. ""As far as we understand, the prosecution is asking for the maximum six-month jail term. Even with the COVID situation now ... we urge the court to exercise some caution and compassion, so we have all the relevant facts before we proceed with sentencing,"" said Mr Wong. He said the remand would be to assess if Parthiban had any mental condition at the time of the offences and if there was any link between this and the offences. The judge initially had reservations, saying the courts usually order IMH remand only at the charging or initial stages of cases. However, after considering further and after the prosecutor said he did not object, the judge ordered Parthiban to be remanded at IMH for psychiatric observation. Parties will return in June for further hearings. The maximum penalties for exposing others to the risk of infection are six months' jail, a S$10,000 fine, or both."
